epoch_utc,station,satellite,obs_range_m,obs_range_corrected_m,model_range_m,tropo_delay_m,com_correction_m,tide_radial_m,ocean_radial_m,shapiro_delay_m,residual_m,residual_mm,elevation_deg,elev_reported_deg,np2_file
2024-01-21T05:27:03.420866Z,8834,lageos2,7716960.596346164,7716953.972108792,7230365.965227546,6.860702670943687,0.251,-0.008483441318310391,-0.010554490075435286,0.014534701937272614,486588.0068812454,486588006.88124543,38.46287221186036,,allsat_20240121.np2
2024-01-21T05:28:45.427056Z,8834,lageos2,7472118.084440067,7472111.460202712,7230365.965226104,6.860702654792172,0.251,-0.008535077361060368,-0.010482785922470605,0.014534701937251903,241745.49497660808,241745494.9766081,38.46287221153872,,allsat_20240121.np2
2024-01-21T05:30:35.839059Z,8834,lageos2,7217227.903290645,7217221.279053308,7230365.965222958,6.860702635268601,0.251,-0.008590980479851764,-0.010402622625499465,0.014534701937223735,-13144.686169649474,-13144686.169649474,38.46287221117492,,allsat_20240121.np2
2024-01-19T23:17:04.335864Z,7839,lageos2,7475602.403546143,7475596.226204102,7014474.293973618,6.414289559392694,0.251,0.052643707010931115,0.0012135379513133267,0.014052481951715002,461121.93223048374,461121932.2304838,42.4979359722534,,allsat_20240121.np2
2024-01-19T23:19:03.651664Z,7839,lageos2,7235160.133515983,7235153.956173871,7014474.294047719,6.414289629642197,0.251,0.05260598742987757,0.001157819705470268,0.014052481951957572,220679.66212615184,220679662.12615186,42.49793597259865,,allsat_20240121.np2
2024-01-19T23:25:28.612964Z,7839,lageos2,6588584.413722522,6588578.236380172,7014474.294297138,6.414289867737037,0.251,0.05248399648210628,0.0009631331128311306,0.014052481952775859,-425896.05791696627,-425896057.91696626,42.49793597380288,,allsat_20240121.np2
2024-01-19T23:26:27.603064Z,7839,lageos2,6510473.689801465,6510467.512459077,7014474.2943367325,6.414289905741886,0.251,0.05246526363517675,0.0009313193693389725,0.014052481952905985,-504006.78187765554,-504006781.8776555,42.49793597399941,,allsat_20240121.np2
2024-01-19T23:34:34.123064Z,7839,lageos2,6133399.853586323,6133393.676243606,7014474.294676806,6.414290234146783,0.251,0.05231036621697638,0.0006494342090633608,0.014052481954025876,-881080.6184331998,-881080618.4331999,42.49793597573851,,allsat_20240121.np2
2024-01-19T23:49:42.689264Z,7839,lageos2,6833583.128291765,6833576.950948368,7014474.295373259,6.4142909153304055,0.251,0.052019199546627745,3.464597065653674e-05,0.014052481956328902,-180897.3444248913,-180897344.4248913,42.49793597952221,,allsat_20240121.np2
2024-01-19T23:50:35.360264Z,7839,lageos2,6923523.440759083,6923517.263415644,7014474.295415945,6.414290957376906,0.251,0.052002244489749536,-4.318785226433253e-06,0.01405248195647039,-90957.0320003014,-90957032.0003014,42.49793597976174,,allsat_20240121.np2
